title,year,actors,genres,network,episodes
7th Grade Civil Servant,2013,"Choi Kang-hee,Joo Won","Romantic comedy,Action,Pop,K-pop,soundtrack,R&B",MBC TV,20
18 Again,2020,"Kim Ha-neul,Yoon Sang-hyun,Lee Do-hyun","Romance,Comedy,Fantasy drama,Coming-of-age,Soundtrack",,16
5th Republic,2005,"Lee Deok-hwa,Seo In-seok,Hong Hak-pyo,Lee Jin-woo,Cha Kwang-soo,Lee Jae-yong","Period drama,Docudrama,Biopic",MBC TV,41
49 Days,2011,"Lee Yo-won,Nam Gyu-ri,Jung Il-woo,Jo Hyun-jae,Bae Soo-bin,Seo Ji-hye","Romance,Melodrama,Fantasy,Body swap",SBS TV,20
12 Years Promise,2014,"Lee So-yeon,Namkoong Min,Lee Tae-im,Yoon So-hee,Lee Won-keun,Ryu Hyo-young","Romantic comedy,Family",JTBC,26
12 Signs of Love,2012,"Yoon Jin-seo,On Joo-wan",Romantic comedy,tvN,16
A New Leaf,2014,"Kim Myung-min,Park Min-young,Kim Sang-joong,Chae Jung-an","Drama,Legal drama,Romance",MBC TV,16
Dear My Friends,2016,"Go Hyun-jung,Kim Hye-ja,Na Moon-hee,Go Doo-shim,Park Won-sook,Youn Yuh-jung,Joo Hyun,Kim Young-ok,Shin Goo",Drama,tvN,16
Exo Next Door,2015,"Exo,Moon Ga-young",Web series,Naver,16
Everybody Say Kimchi,2014,Kim Ji-young,"Family,Drama,Romance,Comedy",Munhwa Broadcasting Corporation,132
Evergreen,2018,"Lee Jong-hyun,Kim So-eun","Fantasy,Romantic comedy",,16
Heard It Through the Grapevine,2015,"Yoo Jun-sang,Yoo Ho-jeong,Lee Joon,Go Ah-sung","Drama,Satire,Black comedy,Family,Romance",SBS TV,30
Heading to the Ground,2009,"Jung Yun-ho,Go Ara,Lee Yoon-ji,Lee Sang-yoon","Sports,Comedy",MBC,16
He Is Psychometric,2019,"Park Jin-young,Shin Ye-eun,Kim Kwon,Kim Da-som","Fantasy,Thriller,Mystery,Procedural,Romantic comedy,Soundtrack",tvN,16
Happy Together,1999,"Lee Byung-hun,Song Seung-heon,Kim Ha-neul,Jo Min-su,Kang Sung-yeon,Jun Ji-hyun,Cha Tae-hyun,Cho Jae-hyun","Drama,Family,Romance",SBS TV,16
I Picked Up a Celebrity on the Street,2018,"Sung Hoon,Kim Ga-eun",Romantic comedy,,10
I Order You,2015,"Jung Yun-ho,Kim Ga-eun","Romance,Comedy",SBS Plus,16
I Need Romance 3,2014,"Kim So-yeon,Sung Joon,Namkoong Min,Wang Ji-won,Park Hyo-joo,Yoon Seung-ah,Park Yu-hwan","Romance,Comedy,Drama",tvN,16
I Need Romance 2012,2012,"Jung Yu-mi,Lee Jin-wook,Kim Ji-seok","Romance,Comedy,Drama",tvN,16
Last,2015,"Yoon Kye-sang,Lee Beom-soo,Seo Yea-ji,Park Ye-jin,Park Won-sang","Crime,Action,Thriller,Drama",jTBC,16
Land of Wine,2003,"Kim Jaewon,Kim Min-jung,Choi Kang-hee,Lee Dong-wook",Drama,SBS,16
L.U.C.A.: The Beginning,2021,,"Crime,Action,Science fiction,Mystery,Soundtrack",tvN,12
Korean Peninsula,2012,"Hwang Jung-min,Kim Jung-eun","Political,Action,Romance,Drama",TV Chosun,18
Miss Lee,2019,"Lee Hye-ri,Kim Sang-kyung,Uhm Hyun-kyung,Cha Seo-won","Workplace,Drama",tvN,16
Miss Ajumma,2011,"Oh Hyun-kyung,Kwon Oh-joong,Jung Shi-ah,Kim Jung-min,Jung Sung-woon","Melodrama,Romance,Family",Seoul Broadcasting System,103
Misaeng: Incomplete Life,2014,"Im Si-wan,Lee Sung-min,Kang So-ra,Kang Ha-neul,Byun Yo-han,Kim Dae-myung,Shin Eun-jung,Park Hae-joon","Workplace,Drama",tvN,20
Mina,2001,"Chae Jung-an,Kim Sa-rang,Kim Seung-soo,Ahn Jae-mo","Drama,Romance",Korean Broadcasting System,16
Monstrous,2022,"Koo Kyo-hwan,Shin Hyun-been","Thriller,Horror,Supernatural",TVING,6
My Fantastic Funeral,2015,"Kyung Soo-jin,Choi Woo-shik","Melodrama,romance",SBS,2
Ms. Kim's Million Dollar Quest,2004,"Kim Hyun-joo,Ji Jin-hee,Kim Sung-ryung,Park Gun-hyung","Drama,Romantic,Comedy",,16
Ms. Hammurabi,2018,"Go Ara,Kim Myung-soo,Sung Dong-il","Legal drama,Soundtrack",JTBC,16
Mr. Duke,2000,"Choi Ji-woo,Kim Seung-woo","Romance,Comedy",Munhwa Broadcasting Corporation,16
My Princess,2011,"Song Seung-heon,Kim Tae-hee,Park Ye-jin,Ryu Soo-young","Romance,Comedy,Drama,Soundtrack",Munhwa Broadcasting Corporation,16
My Mother Is a Daughter-in-law,2015,"Kim Hye-ri,Shim Yi-young,Kim Jeong-hyeon","Drama,Romance,Family,Comedy",SBS,137
Paradise Ranch,2011,"Lee Yeon-hee,Shim Chang-min","Romance,Drama,Soundtrack",Seoul Broadcasting System,16
Papa,1996,"Bae Yong-joon,Lee Young-ae","Romance,Drama,Family",Korean Broadcasting System,18
Painter of the Wind,2008,"Moon Geun-young,Park Shin-yang","Historical,Romance",SBS TV,20
Page Turner,2016,"Kim So-hyun,Ji Soo,Shin Jae-ha",Musical,KBS2,3
Royal Family,2011,"Yum Jung-ah,Ji Sung,Kim Young-ae","Family drama,Romance,Melodrama",MBC TV,18
Rose Mansion,2022,,"Thriller,Suspense,Mystery,Crime",,12
Room No. 9,2018,"Kim Hee-sun,Kim Hae-sook,Kim Young-kwang","Mystery,Fantasy,Soundtrack",tvN,16
Rooftop Prince,2012,"Park Yoo-chun,Han Ji-min,Jeong Yu-mi,Lee Tae-sung,Jung Suk-won,Choi Woo-shik,Lee Tae-ri,Lee Moon-sik","Romance,Comedy,Drama,Time travel,Soundtrack, drama,Soundtrack, drama,Soundtrack, drama,Soundtrack, drama",Seoul Broadcasting System,20
Shine or Go Crazy,2015,"Jang Hyuk,Oh Yeon-seo,Lee Hanee,Lim Ju-hwan","Historical,Romance,Fantasy",MBC TV,24
She Would Never Know,2021,"Won Jin-ah,Rowoon,Lee Hyun-wook,Lee Joo-bin,Lee Kyu-han","Romantic drama,Romantic comedy,Slice of life",JTBC,16
She Was Pretty,2015,"Hwang Jung-eum,Park Seo-joon,Go Joon-hee,Choi Si-won","Romantic comedy,Workplace drama,Soundtrack",MBC TV,16
Sexi Mong,2007,"Kim Ji-woo,Kang Eun-bi,Seo Young",Crime,Home CGV,4
The End of the World,2013,"Yoon Je-moon,Jang Kyung-ah,Jang Hyun-sung",Disaster,JTBC,12
The Duo,2011,"Chun Jung-myung,Lee Sang-yoon,Han Ji-hye,Seo Hyun-jin","Historical,Romance,Comedy,Action",Munhwa Broadcasting Corporation,32
The Doctors,2016,"Kim Rae-won,Park Shin-hye,Yoon Kyun-sang,Lee Sung-kyung","Medical,Drama,Romance,Soundtrack,Pop",SBS TV,20
The Devil Judge,2021,"Ji Sung,Kim Min-jung,Park Jin-young,Park Gyu-young","Mystery,Legal drama",tvN,16
The K2,2016,"Ji Chang-wook,Song Yoon-ah,Im Yoon-ah,Jo Sung-ha,Kim Kap-soo","Action,Melodrama,Political thriller,K-pop,soundtrack",tvN,16
The Jingbirok: A Memoir of Imjin War,2015,"Kim Sang-joong,Kim Tae-woo","Historical,War",KBS1,50
The Innocent Man,2012,"Song Joong-ki,Moon Chae-won,Park Si-yeon","Melodrama,Romance",Korean Broadcasting System,20
The Idolmaster KR,2017,"Kim Sori,Heo Youngjoo,Yukika Teramoto,Kwon Haseo,Lee Jeewon,Mint,Lee Yeeun,Cha Jiseul,Lee Suji,Chun Jane,Jung Taeri,Sung Hoon,Park Chul-min,Kang Yeseul,Lee Ka-eun",Drama,SBS Plus,24
The Idle Mermaid,2014,"Jo Bo-ah,On Joo-wan,Song Jae-rim,Park Ji-soo","Romance,Comedy,Fantasy,Soundtrack",tvN,10
The Most Beautiful Goodbye,2017,"Won Mi-kyung,Choi Ji-woo,Kim Young-ok,Choi Min-ho","Family,Melodrama",tvN,4
The Missing,2015,"Kim Kang-woo,Park Hee-soon","Police procedural,Thriller,Mystery,Action",OCN,10
The Miracle We Met,2018,"Kim Myung-min,Kim Hyun-joo,Ra Mi-ran,Ko Chang-seok,Joseph Lee","Romance,Melodrama,Fantasy,Soundtrack",KBS2,18
The Slingshot,2009,"Park Yong-ha,Park Si-yeon,Kim Kang-woo,Han Yeo-woon,Lee Phillip,Park Ki-woong","Action,Thriller",Korean Broadcasting System,20
The Slave Hunters,2010,"Jang Hyuk,Oh Ji-ho,Lee Da-hae,Gong Hyung-jin,Lee Jong-hyuk","Action,Historical,Drama,Soundtrack",Korean Broadcasting System,24
The Smile Has Left Your Eyes,2018,"Seo In-guk,Jung So-min,Park Sung-woong","Mystery,Thriller,Soundtrack",tvN,16
"Tomorrow, with You",2017,"Shin Min-a,Lee Je-hoon","Fantasy,Romance",tvN,16
Tokyo Sun Shower,2008,"Kim Sa-rang,Kim Tae-woo",Romance,Seoul Broadcasting System,4
Your Lady,2013,"Lee Yu-ri,Park Yoon-jae,Im Ho,Park Young-rin,Lee Byung-wook","Romance,Melodrama,Family",Seoul Broadcasting System,168
You're Only Mine,2014,"Lee Min-young,Jung Sung-hwan,Song Jae-hee,Han Da-min","Romance,Melodrama,Revenge",Seoul Broadcasting System,168
You're Beautiful,2009,"Park Shin-hye,Jang Keun-suk,Jung Yong-hwa,Lee Hong-gi","Romance,Comedy,Musical,Drama,Soundtrack",,16
Zombie Detective,2020,"Choi Jin-hyuk,Park Ju-hyun,Kwon Hwa-woon","Comedy,Fantasy,Mystery",KBS2,24
Your Neighbor's Wife,2013,"Yum Jung-ah,Jung Joon-ho,Shin Eun-kyung,Kim Yu-seok","Drama,Soundtrack",JTBC,22
You're All Surrounded,2014,"Lee Seung-gi,Cha Seung-won,Go Ara,Ahn Jae-hyun,Park Jung-min,Oh Yoon-ah,Sung Ji-ru","Action,Crime,Romance,Soundtrack",SBS TV,20
You Are Too Much,2017,"Uhm Jung-hwa,Koo Hye-sun,(ep 1-6,Jang Hee-jin,Kang Tae-oh","Family,Drama",MBC TV,86
You Are the Boss!,2013,"Ha Hee-ra,Lee Hyung-chul,Shim Hyung-tak,Kim Bin-woo","Family,Romance",Munhwa Broadcasting Corporation,108
You Are the Best!,2013,"Lee Ji-eun,Jo Jung-suk,Go Doo-shim,Lee Mi-sook","Romance,Family,Melodrama,Comedy,Pop,K-pop,soundtrack,R&B,teen pop",KBS2,50
You Are My Spring,2021,"Seo Hyun-jin,Kim Dong-wook,Yoon Park,Nam Gyu-ri","Thriller,Mystery,Drama,Romance,Comedy,Soundtrack",,16
You Are My Destiny,2014,"Jang Hyuk,Jang Na-ra,Choi Jin-hyuk,Wang Ji-won","Romance,Comedy,Drama,Soundtrack",Munhwa Broadcasting Corporation,20
You Don't Know Women,2017,"Kim Ji-ho,Go Se-won,Im Ho","Drama,Romance,Family",Seoul Broadcasting System,109
You Are a Gift,2016,"Heo Yi-jae,Cha Do-jin,Choi Myung-gil,Jin Ye-sol,Kim Cheong,Song Jae-hee,Shim Ji-ho","Melodrama,Romance,Family,Revenge",SBS,111
Yong-pal,2015,"Joo Won,Kim Tae-hee,Jo Hyun-jae,Chae Jung-an","Action,Medical,Romance,Soundtrack",Seoul Broadcasting System,18
Yonder,2022,,Science fiction,TVING,6
YG Future Strategy Office,2018,"Seungri,Yoo Byung-jae,Lee Jai-jin","Web television,Sitcom,Mockumentary",Netflix,8
Worlds Within,2008,"Song Hye-kyo,Hyun Bin","Romance,Drama",Korean Broadcasting System,16
Working Mom Parenting Daddy,2016,"Hong Eun-hee,Park Gun-hyung,Oh Jung-yeon,ko,Han Ji-sang,Shin Eun-jung,Gong Jung-hwan,ko","Family drama,Slice of life,Comedy",MBC,120
Working Mom,2008,"Yum Jung-ah,Bong Tae-gyu,Cha Ye-ryun,Ryu Tae-joon","Family,Comedy,Drama,Romance",SBS,16
Wonderful Mama,2013,"Bae Jong-ok,Jeong Yu-mi,Kim Ji-seok,Park Bo-gum","Family,Comedy,Drama",Seoul Broadcasting System,48
Wonderful Life,2005,"Kim Jaewon,Eugene,Lee Ji-hoon,Han Eun-jung,Jung Da-bin","Romance,Comedy,Drama,Family",Munhwa Broadcasting Corporation,16
Wonderful Days,2014,"Lee Seo-jin,Kim Hee-sun,Ok Taecyeon","Melodrama,Family,Romance",Korean Broadcasting System,50
Women in the Sun,2008,"Kim Ji-soo,Lee Ha-na,Han Jae-suk,Jung Gyu-woon","Romance,Melodrama",KBS2,20
Woman with a Suitcase,2016,"Choi Ji-woo,Joo Jin-mo,Jeon Hye-bin,Lee Joon","Legal,Melodrama,Comedy,Pop,K-pop,soundtrack",MBC TV,16
Witch's Love,2018,"Yoon So-hee,Hyun Woo,Lee Hong-bin,Kim Young-ok,Go Soo-hee","Romantic comedy,Mystery,Fantasy",MBN,12
Witch at Court,2017,"Jung Ryeo-won,Yoon Hyun-min","Legal drama,Romance",KBS2,16
Wild Romance,2012,"Lee Dong-wook,Lee Si-young,Oh Man-seok,Hwang Sun-hee","Romance,Comedy,Sports,Suspense",KBS2,16
Why Her,2022,"Seo Hyun-jin,Hwang In-youp,Huh Joon-ho,Bae In-hyuk","Mystery,Melodrama,Legal,Romance",SBS TV,16
Who Are You?,2013,"So Yi-hyun,Ok Taecyeon,Kim Jae-wook","Police procedural,Mystery,Horror,Romance",tvN,16
Who Are You?,2008,"Yoon Kye-sang,Go Ara,Kang Nam-gil","Comedy,Drama,Romance",MBC TV,17
White Nights 3.98,1998,"Choi Min-soo,Shim Eun-ha,Lee Byung-hun,Lee Jung-jae,Jin Hee-kyung","Action,Drama",Seoul Broadcasting System,20
While You Were Sleeping,2017,"Lee Jong-suk,Bae Suzy,Lee Sang-yeob,Jung Hae-in","Romance,Fantasy,Thriller,Comedy,Legal drama,Soundtrack",SBS TV,16
While You Were Sleeping,2011,"Lee Chang-hoon,Choi Won-young,Oh Yoon-ah,Lee Young-eun","Romance,Melodrama,Revenge",Seoul Broadcasting System,120
Which Star Are You From,2006,"Kim Rae-won,Jung Ryeo-won","Romance,Comedy,Drama",Munhwa Broadcasting Corporation,16
When the Weather Is Fine,2020,"Park Min-young,Seo Kang-joon","Drama,Soundtrack",JTBC,16
What's Up Fox,2006,"Go Hyun-jung,Chun Jung-myung","Drama,Romantic comedy",Munhwa Broadcasting Corporation,16
When My Love Blooms,2020,"Yoo Ji-tae,Lee Bo-young,Park Jinyoung,Jeon So-nee","Melodrama,Romance,Soundtrack",tvN,16
When a Man Falls in Love,2013,"Song Seung-heon,Shin Se-kyung,Chae Jung-an,Yeon Woo-jin","Romance,Melodrama",MBC TV,20
What's Wrong with Secretary Kim,2018,"Park Seo-joon,Park Min-young","Romantic comedy,Soundtrack",tvN,16
What's for Dinner?,2009,"Ha Hee-ra,Kim Hye-sun,Oh Yoon-ah,Kim Sung-min,Kim Byung-se,Ha Seok-jin","Romance,Family",Munhwa Broadcasting Corporation,106
West Palace,1995,"Lee Young-ae,Kim Kyu-chul,Lee Bo-hee",Historical,KBS2,52
Welcome to Waikiki 2,2019,"Lee Yi-kyung,Kim Seon-ho,Shin Hyun-soo,Moon Ga-young,Ahn So-hee,Kim Ye-won","Comedy,Slice of Life,Soundtrack",JTBC,16
Welcome to Waikiki,2018,"Kim Jung-hyun,Lee Yi-kyung,Son Seung-won","Comedy,Soundtrack",JTBC,20
Welcome to the Show,2011,"Lim Seul-ong,Sulli,Nichkhun,Kim Jang-hoon,Kim Kwang-kyu","Comedy,Sitcom",SBS,1
Welcome Rain to My Life,2012,"Lee Da-hee,Shim Hyung-tak,Ryu Sang-wook,Shin Joo-ah,Kim Hae-in","Romance,Drama",Seoul Broadcasting System,106
Wedding,2005,"Jang Na-ra,Ryu Si-won,Myung Se-bin,Lee Hyun-woo","Romance,Drama",Korean Broadcasting System,18
Was It Love?,2020,"Song Ji-hyo,Son Ho-jun,Song Jong-ho,Kim Min-jun,Koo Ja-sung,Kim Da-som","Romantic drama,Romantic comedy,Slice of life",JTBC,16
Watcher,2019,"Han Suk-kyu,Seo Kang-joon,Kim Hyun-joo","Crime,Thriller,Soundtrack",OCN,16
We Broke Up,2015,"Sandara Park,Kang Seung-yoon,Kang Seung-hyun,Jang Ki-yong","Romance,Drama,Musical",Naver,10
We Are Dating Now,2002,"Chae Rim,So Ji-sub","Romance,Comedy",Seoul Broadcasting System,16
Warm and Cozy,2015,"Kang So-ra,Yoo Yeon-seok","Romance,Comedy,Pop,K-pop,soundtrack,R&B",Munhwa Broadcasting Corporation,16
Wanted,2016,"Kim Ah-joong,Ji Hyun-woo,Uhm Tae-woong,Park Hae-joon","Thriller,Crime",SBS TV,16
VIP,2019,"Jang Na-ra,Lee Sang-yoon,Lee Chung-ah,Kwak Sun-young,Pyo Ye-jin,Shin Jae-ha","Mystery,Drama",SBS TV,16
Vincenzo,2021,"Song Joong-ki,Jeon Yeo-been,Ok Taec-yeon,Kim Yeo-jin,Kwak Dong-yeon","Crime drama,Dark comedy,Romance,Soundtrack",tvN,20
Vagabond,2019,"Lee Seung-gi,Bae Suzy,Shin Sung-rok","Spy,Crime,Action,Thriller,Romance",SBS TV,16
Unknown Woman,2017,"Oh Ji-eun,Bae Jong-ok,Park Yoon-jae,Seo Ji-seok,Choi Yoon-so","Melodrama,Revenge",KBS2,102
Unkind Ladies,2015,"Kim Hye-ja,Chae Shi-ra,Do Ji-won,Lee Ha-na","Family,Drama,Romance",KBS2,24
Unframed,2021,See list,Drama,,4
Uncontrollably Fond,2016,"Kim Woo-bin,Bae Suzy,Lim Ju-hwan,Lim Ju-eun","Romance,Melodrama,Soundtrack,ballad",KBS2,20
Undercover,2021,"Ji Jin-hee,Kim Hyun-joo,Jung Man-sik,Heo Joon-ho","Drama,Thriller,Soundtrack",JTBC,16
Ugly Alert,2013,"Im Joo-hwan,Kim Seol-hyun,Choi Tae-joon,Kang Byul,Kang So-ra","Romance,Melodrama",Seoul Broadcasting System,143
Two Wives,2009,"Kim Ji-young,Son Tae-young,Kim Ho-jin,Kang Ji-sub","Melodrama,Family,Romance",Seoul Broadcasting System,156
Two Weeks,2013,"Lee Joon-gi,Kim So-yeon,Ryu Soo-young,Park Ha-sun,Kim Hye-ok,Jo Min-ki,Lee Chae-mi","Action,Thriller,Soundtrack",MBC TV,16
Two Outs in the Ninth Inning,2007,"Soo Ae,Lee Jung-jin,Lee Tae-sung,Hwang Ji-hyun","Romance,Comedy",Munhwa Broadcasting Corporation,16
Two Mothers,2014,"Jang Seo-Hee,Lee Chae-Young","Melodrama,Romance,Family,Revenge",KBS2,102
Twinkle Twinkle,2011,"Kim Hyun-joo,Lee Yu-ri,Kim Suk-hoon,Kang Dong-ho","Drama,Romance,Family",MBC TV,54
Twelve Nights,2018,"Han Seung-yeon,Shin Hyun-soo",Romance,,12
Tunnel,2017,"Choi Jin-hyuk,Yoon Hyun-min,Lee Yoo-young","Thriller,Crime",OCN,16
Triple,2009,"Lee Jung-jae,Lee Sun-kyun,Yoon Kye-sang,Lee Ha-na,Min Hyo-rin","Romance,Drama",Munhwa Broadcasting Corporation,16
Triangle,2014,"Lee Beom-soo,Kim Jae-joong,Im Si-wan,Oh Yeon-soo,Baek Jin-hee","Melodrama,Family,Romance,Action,Crime drama",MBC TV,26
Tree of Heaven,2006,"Lee Wan,Park Shin-hye","Romance,Melodrama",SBS TV,10
Train,2020,"Yoon Shi-yoon,Kyung Soo-jin,Shin So-yul","Fantasy,Mystery,Thriller",OCN,12
Touch,2020,"Joo Sang-wook,Kim Bo-ra",Romantic comedy,Channel A,16
To. Jenny,2018,"Kim Sung-cheol,Jung Chae-yeon","Romance,Music",KBS2,2
To the Beautiful You,2012,"Sulli,Choi Min-ho,Lee Hyun-woo","Romance,Comedy,Drama",SBS TV,16
To My Beloved,2012,"Kim Min-jun,Park Sol-mi,Hong Jong-hyun,Choi Yeo-jin",Drama,JTBC,16
Times,2021,"Lee Seo-jin,Lee Joo-young,Kim Yeong-cheol,Moon Jeong-hee","Crime,Science fiction,Soundtrack",,12
Time Between Dog and Wolf,2007,"Lee Joon-gi,Nam Sang-mi,Jung Kyung-ho","Action,Drama,Romance",MBC TV,16
Three Sisters,2010,"Myung Se-bin,Yang Mi-ra,Jo An","Drama,Family",Seoul Broadcasting System,123
Three Days,2014,"Park Yoo-chun,Son Hyun-joo,Park Ha-sun,So Yi-hyun","Action,Thriller",Seoul Broadcasting System,16
Thousand Years of Love,2003,"Sung Yu-ri,So Ji-sub,Kim Nam-jin","Romance,Drama,Time travel",Seoul Broadcasting System,20
This Is My Love,2015,"Joo Jin-mo,Kim Sa-rang","Romance,Melodrama,Soundtrack",JTBC,16
Thirty-Nine,2022,"Son Ye-jin,Jeon Mi-do,Kim Ji-hyun",Soundtrack,JTBC,12
The Wind Blows,2019,"Kam Woo-sung,Kim Ha-neul,Kim Sung-cheol,Kim Ga-eun",Melodrama,JTBC,16
The Wedding Scheme,2012,"Kang Hye-jung,Lee Kyu-han,Lee Young-eun,Park Min-ji","Romance,Comedy,Drama,Family",tvN,16
The Virus,2013,"Um Ki-joon,Lee So-jung,Lee Ki-woo,Jo Hee-bong","Medical drama,Mystery,Thriller",OCN,10
The Virtual Bride,2015,"Kim Dasom,Go Doo-shim,Ryu Soo-young","Comedy,Family",Korean Broadcasting System,12
The Vineyard Man,2006,"Yoon Eun-hye,Oh Man-seok","Romance,Comedy,Drama",Korean Broadcasting System,16
The Woman Who Still Wants to Marry,2010,"Park Jin-hee,Kim Bum,Uhm Ji-won,Wang Bit-na","Romance,Comedy,Drama",Munhwa Broadcasting Corporation,16
The Witch's Diner,2021,"Song Ji-hyo,Nam Ji-hyun,Chae Jong-hyeop",Dark fantasy,TVING,8
The Time We Were Not in Love,2015,"Ha Ji-won,Lee Jin-wook,Yoon Kyun-sang,Choo Soo-hyun","Romance,Comedy,Drama,Soundtrack",SBS TV,16
The Village: Achiara's Secret,2015,"Moon Geun-young,Yook Sung-jae,Shin Eun-kyung,On Joo-wan,Jang Hee-jin","Thriller,Mystery",SBS,16
The Vampire Detective,2016,"Lee Joon,Oh Jung-se,Lee Se-young,Lee Chung-ah,Jei","Fantasy,Horror,Action,Thriller,Mystery,Occult detective fiction",OCN,12
The Undateables,2018,"Namkoong Min,Hwang Jung-eum","Romance comedy,Soundtrack",SBS TV,32
The Three Musketeers,2014,"Jung Yong-hwa,Lee Jin-wook,Yang Dong-geun,Jung Hae-in,Seo Hyun-jin","Period drama,Action,Romance,Drama,Political",tvN,12
The Thorn Birds,2011,"Han Hye-jin,Joo Sang-wook,Kim Min-jung,Seo Do-young,Cha Hwa-yun","Melodrama,Romance",Korean Broadcasting System,20
The Third Hospital,2012,"Kim Seung-woo,Oh Ji-ho,Kim Min-jung,Choi Soo-young","Medical drama,Romance",tvN,20
The Suspicious Housekeeper,2013,"Choi Ji-woo,Lee Sung-jae,Wang Ji-hye,Kim So-hyun","Family drama,Black comedy",SBS TV,20
The Story of Kang-goo,2014,"Lee Dong-wook,Park Joo-mi,Shin Dong-woo","Romance, Drama",Seoul Broadcasting System,2
The Spies Who Loved Me,2020,"Eric Mun,Yoo In-na,Lim Ju-hwan","Action,Romance,Comedy,Soundtrack",MBC TV,16
The Sound of Your Heart,2016,"Lee Kwang-soo,Jung So-min",Sitcom,KBS2,20
