title,year,actors,genres,network,episodes
The Secret of Birth,2013,"Sung Yu-ri,Yoo Jun-sang",Romance,Seoul Broadcasting System,18
The Secret House,2022,"Seo Ha-jun,Lee Young-eun,Kim Jung-heon","Melodrama,Revenge,Romance,Mystery,Crime,Soundtrack",MBC TV,124
The Scandal,2013,"Kim Jaewon,Jo Yoon-hee,Cho Jae-hyun,Park Sang-min,Shin Eun-kyung,Ki Tae-young","Melodrama,Family,Revenge",MBC,36
The Road Home,2009,"Lee Sang-woo,Jang Shin-young,Shim Hyung-tak,Jo Yeo-jeong,Park Hye-won,Ryohei Otani","Drama,Romance,Drama",KBS1,120
The School Nurse Files,2020,"Jung Yu-mi,Nam Joo-hyuk","Comedy,Fantasy,Superhero",Netflix,6
The Scholar Who Walks the Night,2015,"Lee Joon-gi,Lee Yu-bi,Shim Chang-min,Lee Soo-hyuk,Kim So-eun","Historical,Fantasy,Romance,Soundtrack",Munhwa Broadcasting Corporation,20
The Royal Gambler,2016,"Jang Keun-suk,Yeo Jin-goo,Jun Kwang-ryul,Choi Min-soo,Yoon Jin-seo,Lim Ji-yeon,Hyun Woo","Historical,Soundtrack",SBS,24
The Road: The Tragedy of One,2021,"Ji Jin-hee,Yoon Se-ah,Kim Hye-eun,Kim Sung-soo","Mystery,Thriller,Drama,Soundtrack",tvN,12
The Return of Iljimae,2009,"Jung Il-woo,Yoon Jin-seo,Kim Min-jong,Jung Hye-young","Romance,Historical,Action",MBC TV ,24
The Return of Hwang Geum-bok,2015,"Shin Da-eun,Lee Elijah,Kim Jin-woo,Jung Eun-woo","Melodrama,Romance,Family,Revenge",SBS,125
The Rebel,2017,"Yoon Kyun-sang,Chae Soo-bin,Kim Sang-joong,Kim Ji-suk,Lee Hanee","Historical,Melodrama,Romance,Soundtrack",MBC TV,30
The Promise,2016,"Lee Yu-ri,Seo Jun-young,Park Ha-na,Song Jong-ho","Melodrama,Revenge",KBS2,102
The Queen of Office,2013,"Kim Hye-soo,Oh Ji-ho,Jung Yu-mi,Lee Hee-joon,Jeon Hye-bin,Jo Kwon","Romance,Comedy,Drama",Korean Broadcasting System,16
The Queen's Classroom,2013,"Go Hyun-jung,Kim Hyang-gi,Chun Bo-geun,Kim Sae-ron,Seo Shin-ae","Drama,Comedy,School,K-pop,R&B",MBC,16
The Princess' Man,2011,"Park Si-hoo,Moon Chae-won,Kim Yeong-cheol,Song Jong-ho,Hong Soo-hyun,Lee Min-woo,Lee Soon-jae","Romance,Historical",KBS2,24
The Package,2017,"Lee Yeon-hee,Jung Yong-hwa,Choi Woo-shik,Yoon Park,Ryu Seung-soo","Drama,Soundtrack",JTBC,12
The Noblesse,2014,"Seo Ji-hye,Park Jung-ah,Hyun Woo-sung,Jung Sung-woon",Romance,JTBC,148
The Musical,2011,"Koo Hye-sun,Choi Daniel,Park Ki-woong,Ock Joo-hyun","Musical,Romance,Drama",Seoul Broadcasting System,15
The Master of Revenge,2016,"Chun Jung-myung,Jo Jae-hyun,Jeong Yoo-mi,Lee Sang-yeob,Gong Seung-yeon",Revenge,KBS2,20
The Man in the Mask,2015,"Joo Sang-wook,Kim Sun-a,Um Ki-joon,Jun Kwang-ryul,Hwang Sun-hee,Lee Moon-sik","Action,Romance,Comedy",KBS2,16
The Lover,2015,"Oh Jung-se,Ryu Hyun-kyung,Jung Joon-young,Choi Yeo-jin,Park Jong-hwan,Ha Eun-seol,Takuya Terada,Lee Jae-joon","Romance,Comedy",Mnet,12
The Love Is Coming,2016,"Kim Ji-young,Lee Min-young,Go Se-won,Lee Hoon","Family,Romance,Melodrama",SBS,122
The Light in Your Eyes,2019,"Han Ji-min,Kim Hye-ja,Nam Joo-hyuk,Son Ho-jun",Soundtrack,JTBC,12
The Legend,2007,"Bae Yong-joon,Lee Ji-ah,Moon So-ri,Choi Min-soo","Fantasy,Period drama,Romance",Munhwa Broadcasting Corporation,24
The Liar and His Lover,2017,"Lee Hyun-woo,Park Soo-young,Lee Jung-jin,Lee Seo-won,Hong Seo-young","Romantic comedy,Soundtrack",tvN,16
The Last Match,1994,"Jang Dong-gun,Son Ji-chang,Lee Sang-ah,Shim Eun-ha,Lee Jong-won","Drama,Sports",,16
The Lady in Dignity,2017,"Kim Hee-sun,Kim Sun-ah,Jung Sang-hoon,Lee Tae-im,Lee Ki-woo","Drama,Mystery,Thriller,Soundtrack",JTBC,20
The King's Affection,2021,"Park Eun-bin,Rowoon,Nam Yoon-su,Choi Byung-chan,Bae Yoon-kyung,Jung Chae-yeon","Historical,Romance,Fiction,Comedy,K-pop",KBS2,20
The King of Chudong Palace,1983,,Historical,MBC TV,27
The King in Love,2017,"Im Si-wan,Im Yoon-ah,Hong Jong-hyun","Historical,Romance,Melodrama,Soundtrack",MBC,40
The King 2 Hearts,2012,"Ha Ji-won,Lee Seung-gi","Romance,Drama,Action",Munhwa Broadcasting Corporation,20
The Killer's Shopping List,2022,"Lee Kwang-soo,Kim Seol-hyun,Jin Hee-kyung","Comedy,Mystery,Thriller",tvN,8
The Happy Loner,2017,"Min Hyo-rin,Gong Myung",Romantic-comedy,KBS2,2
The Guest,2018,"Kim Dong-wook,Kim Jae-wook,Jung Eun-chae","Supernatural,Horror,Thriller,Drama,Mystery,Soundtrack",OCN,16
The Greatest Marriage,2014,"Park Si-yeon,Bae Soo-bin,No Min-woo","Romance,Drama,Comedy",TV Chosun,16
The Great Show,2019,"Song Seung-heon,Lee Sun-bin,Lim Ju-hwan","Family,Political,Comedy,Soundtrack",tvN,16
The Greatest Love,2011,"Cha Seung-won,Gong Hyo-jin,Yoon Kye-sang,Yoo In-na","Romance,Comedy,Pop,K-pop,soundtrack,R&B",MBC TV,16
The Great Merchant,2010,"Lee Mi-yeon,Han Jae-suk,Park Sol-mi,Ha Seok-jin,Go Doo-shim","Period drama,Romance",KBS1,30
"The Great King, Sejong",2008,"Kim Sang-kyung,Yoon Se-ah,Lee Jung-hyun,Lee Yoon-ji",Historical,KBS1,86
The Good Wife,2016,"Jeon Do-yeon,Yoo Ji-tae,Yoon Kye-sang",Drama,tvN,16
The Good Detective,2020,"Son Hyun-joo,Jang Seung-jo,Lee Elijah,Oh Jung-se,Ji Seung-hyun,Kim Hyo-jin,Jung Moon-sung","Crime drama,Detective,Soundtrack,K-pop",JTBC,32
The Golden Spoon,2022,"Yook Sung-jae,Lee Jong-won,Jung Chae-yeon,Yeonwoo","Coming-of-age,Mystery,Fantasy",MBC TV,16
The Fugitive: Plan B,2010,"Rain,Lee Na-young,Lee Jung-jin,Yoon Jin-seo,Daniel Henney","Action,Romance,Comedy",Korean Broadcasting System,20
The Fugitive of Joseon,2013,"Lee Dong-wook,Song Ji-hyo,Kim Yoo-bin,Lim Seul-ong","Historical,Thriller,Mystery,Romance",KBS2,20
The Family is Coming,2015,"Lee Jung-hyun,Jin Yi-han,Oh Sang-jin,Park Won-sook","Family,Romance,Comedy,Drama",SBS,20
The Fabulous,2022,"Choi Min-ho,Chae Soo-bin",Romantic comedy,Netflix,8
The Crowned Clown,2019,"Yeo Jin-goo,Kim Sang-kyung,Lee Se-young","Historical,Romance,Melodrama,Soundtrack",tvN,16
The Cursed,2020,"Uhm Ji-won,Jung Ji-so,Sung Dong-il,Jo Min-su","Thriller,Mystery,Horror",tvN,12
The City Hall,2009,"Kim Sun-a,Cha Seung-won","Romance,Comedy,Drama",Seoul Broadcasting System,20
The Bride of Habaek,2017,"Nam Joo-hyuk,Shin Se-kyung,Lim Ju-hwan,Krystal Jung,Gong Myung","Fantasy,Romance,Comedy",tvN,16
The Blade and Petal,2013,"Kim Ok-bin,Uhm Tae-woong,Choi Min-soo,Kim Yeong-cheol","Historical,Romance,Drama,Action",KBS2,20
The Accidental Couple,2009,"Hwang Jung-min,Kim Ah-joong",Romantic comedy,KBS2,16
The 101st Proposal,2006,"Lee Moon-sik,Park Sun-young",Romantic comedy,SBS TV,15
"That Winter, the Wind Blows",2013,"Zo In-sung,Song Hye-kyo","Romance,Melodrama,Soundtrack",Seoul Broadcasting System,16
Thank You,2007,"Jang Hyuk,Gong Hyo-jin,Seo Shin-ae","Romance,Drama",Munhwa Broadcasting Corporation,16
Temptation of an Angel,2009,"Bae Soo-bin,Lee So-yeon,Jin Tae-hyun,Hong Soo-hyun","Melodrama,Suspense,Erotica Drama",SBS TV,21
Temptation,2014,"Kwon Sang-woo,Choi Ji-woo,Lee Jung-jin,Park Ha-sun","Romance,Melodrama,Erotica Drama",Seoul Broadcasting System,20
Temperature of Love,2017,"Seo Hyun-jin,Yang Se-jong,Kim Jae-wook,Jo Bo-ah","Romance,Melodrama,Soundtrack",SBS TV,40
Tell Me What You Saw,2020,"Jang Hyuk,Choi Soo-young,Jin Seo-yeon","Thriller,Suspense,Soundtrack",OCN,16
Team Bulldog: Off-Duty Investigation,2020,"Cha Tae-hyun,Lee Sun-bin,Jung Sang-hoon,Yoon Kyung-ho,Ji Seung-hyun","Action,Crime",,12
Tazza,2008,"Jang Hyuk,Han Ye-seul,Kim Min-jun","Gambling,Drama,Romance",Seoul Broadcasting System,18
Tasty Life,2012,"Im Chae-moo,Yoon Jung-hee,Ryu Hyun-kyung,Yoo Da-in,Lee Hye-ri","Family,Comedy,Romance",Seoul Broadcasting System,39
"Take Care of Us, Captain",2012,"Koo Hye-sun,Ji Jin-hee","Romance,Drama",SBS TV,20
Syndrome,2012,"Han Hye-jin,Song Chang-eui,Park Gun-hyung","Romance,Medical drama",JTBC,20
Tale of the Nine Tailed,2020,"Lee Dong-wook,Jo Bo-ah,Kim Bum","Fantasy,Action,Romance,Drama,Suspense,Horror,Soundtrack",tvN,16
Tale of Fairy,2018,"Moon Chae-won,Yoon Hyun-min,Seo Ji-hoon,Jeon Soo-jin,Kang Mi-na","Romance,Fantasy,Comedy,Soundtrack",tvN,16
Sweet Stranger and Me,2016,"Soo Ae,Kim Young-kwang,Lee Soo-hyuk,Jo Bo-ah,Kim Ji-hoon","Family,Comedy,Romance",KBS2,16
Sweet Revenge 2,2018,"Ahn Seo-hyun,Samuel,Ji Min-hyuk,Kim Ye-eun","Coming of age,Revenge,Soundtrack",XtvN,16
Sweet Munchies,2020,"Jung Il-woo,Kang Ji-young,Lee Hak-joo","Romantic comedy,Soundtrack",JTBC,12
Swallow the Sun,2009,"Ji Sung,Sung Yu-ri,Lee Wan,Jun Kwang-ryul","Action,Romance,Drama",Seoul Broadcasting System,25
Super Daddy Yeol,2015,"Lee Dong-gun,Lee Yu-ri,Lee Re","Family,Comedy,Romance",tvN,16
Surgeon Bong Dal-hee,2007,"Lee Yo-won,Lee Beom-soo,Kim Min-jun,Oh Yoon-ah","Medical drama,Romance,Drama,Comedy",Seoul Broadcasting System,18
Sunlight Pours Down,2004,"Song Hye-kyo,Jo Hyun-jae,Ryoo Seung-bum","Romance,Drama",Seoul Broadcasting System,16
Sungkyunkwan Scandal,2010,"Park Yoo-chun,Park Min-young,Song Joong-ki,Yoo Ah-in","Historical,Coming-of-age,Romantic-comedy",KBS2,20
Suits,2018,"Jang Dong-gun,Park Hyung-sik","Legal drama,Soundtrack",KBS2,16
Successful Story of a Bright Girl,2002,"Jang Nara,Jang Hyuk,Han Eun-jung,Yoon Tae-young,Choo Ja-hyun,Ryu Soo-young","Romance,Comedy",Seoul Broadcasting System,16
Style,2009,"Kim Hye-soo,Lee Ji-ah,Ryu Si-won,Lee Yong-woo","Romance,Drama",Seoul Broadcasting System,16
Strongest Deliveryman,2017,"Go Kyung-pyo,Chae Soo-bin,Kim Seon-ho,Go Won-hee","Slice of life,Drama,Romance,Soundtrack",KBS2,16
Strongest Chil Woo,2008,"Eric Mun,Koo Hye-sun,Yoo Ah-in,Lee Eon,Song Ha-yoon","Historical drama,Action",KBS2,20
Strangers 6,2012,"Toshiaki Karasawa,Oh Ji-ho,Kim Hyo-jin,Masaya Kikawada,Bowie Lam,Liu Xuan","Action,Suspense",,15
Still You,2012,"Shin Eun-kyung,Kim Seung-soo,Wang Bit-na,Song Jae-hee","Romance,Melodrama,Family",Seoul Broadcasting System,124
Steal Heart,2014,"Kim Ok-vin,Lee Hee-joon","Romance,Comedy,Family,Crime",JTBC,50
Star's Echo,2004,"Jo Hyun-jae,Noriko Nakagoshi,Lee Da-hae,Lee Joon-gi,Tomoka Kurotani",Romance,MBC,2
Stars Falling from the Sky,2010,"Choi Jung-won,Kim Ji-hoon","Romance,Family,Drama,K-pop",Seoul Broadcasting System,20
Standby,2012,"Ryu Jin,Lee Ki-woo,Ha Seok-jin",Sitcom,Munhwa Broadcasting Corporation,120
Squad 38,2016,"Ma Dong-seok,Seo In-guk,Choi Soo-young","Revenge,Crime",OCN,16
Spy Myung-wol,2011,"Han Ye-seul,Eric Mun,Lee Jin-wook","Romance,Drama,Action",KBS2,18
Spy,2015,"Kim Jae-joong,Bae Jong-ok,Yu Oh-seong,Ko Sung-hee","Thriller,Action,Romance,Family",Korean Broadcasting System,16
Spring Day,2005,"Go Hyun-jung,Zo In-sung,Ji Jin-hee","Romance,drama",SBS TV,20
Spotlight,2008,"Son Ye-jin,Ji Jin-hee,Jo Yoon-hee,Jin Goo",Workplace drama,Munhwa Broadcasting Corporation,16
Sponsor,2022,,"Drama,Thriller,Romance,Revenge",MBN,12
Splendid Politics,2015,"Cha Seung-won,Lee Yeon-hee,Kim Jaewon,Seo Kang-joon,Han Joo-wan,Jo Sung-ha","Historical,Political,Romance",Munhwa Broadcasting Corporation,50
Splash Splash Love,2015,"Kim Seul-gi,Yoon Doo-joon","Fantasy,Romance,Time slip",MBC,2
Soundtrack 1,2022,"Park Hyung-sik,Han So-hee","Romance,Music",Disney+,4
Soul,2009,"Lee Seo-jin,Lim Ju-eun","Horror,Crime,Romance",Munhwa Broadcasting Corporation,10
Something About 1%,2003,,Drama,MBC,26
Songgot: The Piercer,2015,"Ji Hyun-woo,Ahn Nae-sang","Drama,Soundtrack",JTBC,12
Something in the Rain,2018,"Son Ye-jin,Jung Hae-in","Romance,Soundtrack",,16
Something Happened in Bali,2004,"Ha Ji-won,Zo In-sung,So Ji-sub,Park Ye-jin","Romance,Melodrama,Soundtracks",SBS TV,20
Something About 1%,2016,"Ha Seok-jin,Jeon So-min","Comedy,Romance",[a],16
Someday,2006,"Bae Doona,Kim Min-jun,Lee Jin-wook,Oh Yoon-ah",Romance,OCN,16
So Not Worth It,2021,"Park Se-wan,Shin Hyeon-seung,Choi Young-jae,Minnie,Han Hyun-min,Carson Allen,Joakim Sorensen,Terris Brown",Sitcom,Netflix,12
Sketch,2018,"Rain,Lee Sun-bin,Lee Dong-gun,Jung Jin-young,Kang Shin-il,Lim Hwa-young,Lee Seung-joo","Action,Fantasy,Crime,Soundtrack",JTBC,16
Smile Again,2006,"Kim Hee-sun,Lee Dong-gun,Lee Jin-wook","Romance,Drama",Seoul Broadcasting System,16
Sisyphus: The Myth,2021,"Cho Seung-woo,Park Shin-hye,Kim Byung-chul,Chae Jong-hyeop","Science fiction,Thriller,Drama,Action,romance,Soundtrack",JTBC,16
Sisters-in-Law,2017,"Hahm Eun-jung,Lee Joo-yeon,Kang Kyung-joon,Cha Do-jin","Family,Melodrama",MBC TV,100
Sign,2011,"Park Shin-yang,Kim Ah-joong,Jun Kwang-ryul,Jung Gyu-woon,Uhm Ji-won","Romance,Crime,Action",Seoul Broadcasting System,20
Short,2018,"Kang Tae-oh,Yeo Hoe-hyun",Sports,,4
Shopping King Louie,2016,"Seo In-guk,Nam Ji-hyun,Yoon Sang-hyun,Im Se-mi","Romantic comedy,Pop,K-pop,soundtrack",MBC TV,16
Seoul 1945,2006,"Ryu Soo-young,Han Eun-jung,So Yoo-jin,Kim Ho-jin,Park Sang-myun","Period drama,War,Drama,Romance",KBS1,71
Secrets of Women,2016,"So Yi-hyun,Oh Min-suk,Kim Yoon-seo,Kim Jung-heon","Melodrama,Revenge",KBS2,104
Semantic Error,2022,"Park Seo-ham,Park Jae-chan","BL,Drama,Romantic comedy",,8
Sell Your Haunted House,2021,"Jang Na-ra,Jung Yong-hwa,Kang Hong-seok,Ahn Gil-kang","Comedy,Fantasy,Supernatural,Soundtrack",KBS2,16
Secret Door,2014,"Han Suk-kyu,Lee Je-hoon,Kim Yoo-jung,Yoon So-hee,Park Eun-bin,Kim Min-jong,Choi Won-young","Historical,Drama,Political,Mystery",Seoul Broadcasting System,24
Secret Queen Makers,2018,Go Won-hee,"Romance,Comedy,Soundtrack",Naver TV Cast,7
Secret Love,2013,"Ji Sung,Hwang Jung-eum,Bae Soo-bin,Lee Da-hee","Melodrama,Thriller,Soundtrack,Pop",KBS2,16
Secret Healer,2016,"Yoon Shi-yoon,Kim Sae-ron,Lee Sung-jae,Yum Jung-ah,Kwak Si-yang","Historical,Fantasy,Romance,Comedy,Soundtrack",JTBC,20
Secret Affair,2014,"Kim Hee-ae,Yoo Ah-in","Romance,Melodrama",JTBC,16
Second to Last Love,2016,"Kim Hee-ae,Ji Jin-hee,Kwak Si-yang","Romance,Soundtrack,Ballad,Pop",SBS,20
Second 20s,2015,"Choi Ji-woo,Lee Sang-yoon,Choi Won-young,Son Na-eun,Kim Min-jae","Romance,Comedy,Soundtrack",tvN,16
Search: WWW,2019,"Im Soo-jung,Lee Da-hee,Jeon Hye-jin,Jang Ki-yong,Lee Jae-wook,Ji Seung-hyun","Romance,Melodrama",tvN,16
Search,2020,"Jang Dong-yoon,Krystal Jung,Moon Jeong-hee,Yoon Park,Lee Hyun-wook","Mystery,Thriller",,10
Scent of a Woman,2011,"Kim Sun-a,Lee Dong-wook,Um Ki-joon,Seo Hyo-rim","Romance,Drama",SBS TV,16
Who Are You: School 2015,2015,"Kim So-hyun,Nam Joo-hyuk,Yook Sung-jae","Teen,Mystery,Soundtrack",KBS2,16
School 2017,2017,"Kim Jung-hyun,Kim Se-jeong,Jang Dong-yoon,Han Sun-hwa,Han Joo-wan","Coming-of-age,Teen,Comedy,Romance,Soundtrack",KBS2,16
Save Me 2,2019,"Uhm Tae-goo,Chun Ho-jin,Esom,Kim Young-min","Thriller,Mystery",OCN,16
Save Me,2017,"Ok Taec-yeon,Seo Yea-ji,Jo Sung-ha,Woo Do-hwan","Thriller,Mystery,Soundtrack",OCN,16
Sang Doo! Let's Go to School,2003,"Rain,Gong Hyo-jin,Lee Dong-gun,Park Geon-il","Romance,Comedy,Drama",Korean Broadcasting System,16
Sandglass,1995,"Choi Min-soo,Go Hyun-jung,Park Sang-won,Lee Jung-jae",Drama,Seoul Broadcasting System,24
Salamander Guru and The Shadows,2012,"Choi Min-ho,Ryu Hyun-kyung,Im Won-hee,Lee Byung-joon,Oh Dal-su","Comedy,Drama",Seoul Broadcasting System,10
Sad Love Story,2005,"Kwon Sang-woo,Kim Hee-sun,Yeon Jung-hoon","Romance,Melodrama",Munhwa Broadcasting Corporation,20
Run,2020,"Ji Sung,Kang Ki-young,Hwang Hee,Lee Tae-sun","Reality,Variety show",tvN,4
Rugal,2020,"Choi Jin-hyuk,Park Sung-woong,Jo Dong-hyuk,Jung Hye-in,Kim Min-sang,Han Ji-wan,Park Sun-ho","Action,Science fiction",OCN,16
Romance Town,2011,"Sung Yu-ri,Jung Gyu-woon,Kim Min-jun,Min Hyo-rin","Romance,Comedy,Drama",Korean Broadcasting System,20
Romance Is a Bonus Book,2019,"Lee Na-young,Lee Jong-suk","Romantic comedy,Soundtrack",tvN,16
Romance,2002,"Kim Jaewon,Kim Ha-neul","Drama,Romance,Comedy",Munhwa Broadcasting Corporation,16
Robber,2008,"Jang Hyuk,Lee Da-hae","Drama,Romance",SBS TV,16
Road No. 1,2010,"So Ji-sub,Kim Ha-neul,Yoon Kye-sang","Romance,Drama,Action,War",MBC TV,20
Revolutionary Sisters,2021,"Yoon Joo-sang,Hong Eun-hee,Jeon Hye-bin,Kim Kyung-nam,Go Won-hee,Lee Bo-hee,Lee Byung-joon,Choi Dae-chul","Family drama,Romance,Comedy drama,Thriller,Mystery,Soundtrack",KBS2,50
Reunited Worlds,2017,"Yeo Jin-goo,Lee Yeon-hee,Ahn Jae-hyun","Fantasy,Romance,Soundtrack",SBS,40
Resurrection,2005,"Uhm Tae-woong,Han Ji-min","Melodrama,Romance,Thriller",Korean Broadcasting System,24
Reset,2014,"Chun Jung-myung,Kim So-hyun","Crime drama,Mystery,Thriller",OCN,10
Reply 1997,2012,"Jung Eun-ji,Seo In-guk,Hoya,Eun Ji-won,Shin So-yul,Lee Si-eon","Romance,Comedy,Teen,Drama",tvN,16
Reply 1994,2013,"Go Ara,Jung Woo,Yoo Yeon-seok,Kim Sung-kyun,Son Ho-jun,Baro,Min Do-hee","Romance,Comedy",tvN,21
Remarriage & Desires,2022,"Kim Hee-sun,Lee Hyun-wook,Jung Yoo-jin,Cha Ji-yeon,Park Hoon","Drama,Satire",Netflix,8
Reflection of You,2021,"Go Hyun-jung,Shin Hyun-been,Kim Jae-young,Choi Won-young","Melodrama,Soundtrack",,16
Red Shoes,2021,"Choi Myung-gil,So Yi-hyun,Park Yoon-jae","Family drama,Melodrama,Revenge,Romance,Soundtrack",KBS2,100
Record of Youth,2020,"Park Bo-gum,Park So-dam,Byeon Woo-seok","Youth,Romance,Soundtrack",tvN,16
Radio Romance,2018,"Yoon Doo-joon,Kim So-hyun,Yoon Park,Yura","Romance,Soundtrack",KBS2,16
Radiant Office,2017,"Go Ah-sung,Ha Seok-jin,Kim Dong-wook,Lee Dong-hwi,Hoya","Romantic comedy,Workplace drama",MBC,16
Queen of Mystery 2,2018,"Choi Kang-hee,Kwon Sang-woo","Crime,Mystery,Detective fiction,Comedy",KBS2,16
Queen of Mystery,2017,"Choi Kang-hee,Kwon Sang-woo","Mystery,Comedy",KBS2,16
Queen of Housewives,2009,"Kim Nam-joo,Oh Ji-ho,Lee Hye-young,Yoon Sang-hyun,Choi Cheol-ho,Sunwoo Sun","Romance,Workplace,comedy,Drama",MBC,20
Queen Seondeok,2009,"Lee Yo-won,Go Hyun-jung,Park Ye-jin,Uhm Tae-woong,Kim Nam-gil","Historical,Fiction,Romance,Action",MBC,62
Queen of Divorce,2024,"Lee Ji-ah,Kang Ki-young",Legal drama,JTBC,12
Queen for Seven Days,2017,"Park Min-young,Yeon Woo-jin,Lee Dong-gun","Historical,Romance,Political,Melodrama,Soundtrack",KBS2,20
Queen and I,2012,"Ji Hyun-woo,Yoo In-na","Romance,Fantasy",tvN,16
Que Sera Sera,2007,"Eric Mun,Jung Yu-mi,Lee Kyu-han,Yoon Ji-hye","Korean Indie,Soundtrack",Munhwa Broadcasting Corporation,17
Pure Love,2013,"Lee Jae-ryong,Do Ji-won,Jeon Mi-seon,Kwon Ki-seon,Han Soo-yeon,Kim Tae-hoon",Drama,KBS2,125
Prosecutor Princess,2010,"Kim So-yeon,Park Si-hoo","Romance,Comedy,Legal drama",SBS,16
Private Lives,2020,"Seohyun,Go Kyung-pyo,Kim Hyo-jin,Kim Young-min,Tae Won-seok","Drama,Crime,Romance,Soundtrack",JTBC,16
Princess Hours,2006,"Yoon Eun-hye,Ju Ji-hoon,Kim Jeong-hoon,Song Ji-hyo","Romance,Comedy,Drama,Pop,K-pop,soundtrack,R&B",MBC,24
Princess Aurora,2013,"Jeon So-min,Oh Chang-seok","Melodrama,Romance,Comedy",Munhwa Broadcasting Corporation,168
Prince Hours,2007,"Seven,Huh E-jae,Kang Doo,Park Shin-hye","Comedy,Romance",Munhwa Broadcasting Corporation,20
Pots of Gold,2013,"Han Ji-hye,Yeon Jung-hoon,Lee Tae-sung,Lee Soo-kyung","Romance,Comedy,Family,Soap opera",Munhwa Broadcasting Corporation,50
